Course Code,Course Name,Course Summary
COMP3431,Robotic Software Architecture,"An introduction to Intelligent agent design. Picking actions using planning, learning or engineered control. Both practical and theoretical components. Practical component: Reimplement parts of a real agent architecture on a robot. Assignment based. Emphasis on engineering a working system. Theoretical component: Introduction to a variety of research agent architectures including classical planning and reinforcement learning. Lecture and lab based."
COMP3511,Human Computer Interaction,"The course covers topics related to User Interface Design and Visual Design Principles. These topics aim to equip you with the skills necessary to design websites, mobile apps, and various software packages. You will learn how to apply a UserCentered Design process, which involves data collection from users, Requirement Analysis, Design, Prototyping, and Usability Evaluation. This process ensures that the final product is tailored to meet users needs.Additionally, the course covers other relevant topics that help you understand your users and their needs. These topics include an overview of basic Cognitive Capacities, Designing for Accessibility, Internationalization, Levels of Expertise, and Collaboration.Lastly, the course introduces you to new emerging technologies, such as the metaverse, immersive technologies, and smart devices. These technologies require special design considerations and will be explored in the course.By the end of the course, you will have gained a comprehensive understanding of User Interface Design and Visual Design Principles, along with the ability to apply UserCentered Design methodologies and adapt products to meet users needs."
COMP3601,Design Project A,"This course aims to teach students how to carry out realworld hardwaresoftware codesign projects. Throughout the course of the semester, students will work in groups to achieve a complex design. At the beginning of the course, students will be assigned to a group and given a design task. Several required parameters for the task, including a budget, will be provided to students. This course builds upon the skills you have learned in other courses, such as COMP2121DESN2000, COMP3222, electrical engineering, and software design courses to complete a large project through group participation."
COMP3821,Extended Algorithm Design and Analysis,"How can a practitioner of algorithms help smallscale producers interested in sustainable farming? How can you solve strategy games by efficiently using computation time and memory? What do the relationships between difficult problems imply about the existence of feasible solutions to them, from both theoretical and practical standpoints? In this course, you will learn the building blocks to develop problemsolving software in fields as diverse as finance, logistics, policy and entertainment. You will apply techniques including divideandconquer, greedy selection and dynamic programming in order to develop fast and accurate algorithms in contexts such as graphs and strings, and study reductions involving linear programming and NPhard problems. You will also develop the ability to think critically and communicate about algorithms in terms of correctness and efficiency. Join us to become a more effective, persistent and creative problem solver."
COMP3891,Extended Operating Systems,As for COMP3231 Operating Systems but in greater depth and breadth.Assumed Knowledge: C
COMP3900,Computer Science Project,"This is a software project capstone course. Students work in teams of ideallyfive 5 membersto define, implement and evaluate a realworld software system. Most of the work in this course is teambased project work, although there are some introductory lectures on software project management and teamwork strategies. Project teams meetweeklystarting fromWeek 1with project mentors to report on the progress of the project. Assessment is based on a project proposal, progressive demonstrations and retrospectives, a final project demonstration and report, and on the quality of the software system itself. Students are also required to reflect on their work and to provide peer assessment of their teammates contributions to the project."
COMP3901,Special Project A,Ever wondered what its like to do research? Have a burning desire to solve an interesting problem of your own?This course aims to give excellent students an opportunity to work closely with a member of academic staff in a small research project or a substantial development project.
COMP3902,Special Project B,Ever wondered what its like to do research? Have a burning desire to solve an interesting problem of your own?This course aims to give excellent students an opportunity to work closely with a member of academic staff in a small research project or a substantial development project.
COMP4121,Advanced Algorithms,"This course is a continuation of our introductory algorithms courses COMP3121382191019801. We will cover some of the basic randomised algorithms and data structures, such as randomised hashing, skiplists, order statistics and Kargers randomised Min Cut algorithm. We will then look at the Markov chains and the Google PageRank algorithm, the Hidden Markov Models and the Viterbi Algorithm, and then cover in quite a detail a variety of other algorithms important to the present day practice, such as the recommender systems as well as some of the algorithms used in Data Science. We will cover parts of three books: our COMP3121382191019801 textbook Algorithm Design by Kleinberg and Tardosh, Networked Life by Mung Chiang and Foundations of Data Science by Blum, Hopcroft and Kannan. The first two books are available in the bookstore. A preprint of the third book is available for free at https:www.Cs.Cornell.Edujehbook.Pdf."
COMP4128,Programming Challenges,"How do competitive programmers solve complex problems in a matter of minutes?In this course, you will design and implement advanced algorithms to solve problems accurately and quickly. You will discover sophisticated applications of dynamic programming, data structures, graph algorithms, mathematics and more. Most importantly, you will learn to deconstruct a problem in order to evaluate which algorithm design techniques are appropriate, combining ideas from different contexts, and address the challenges that lie in both solving the problem conceptually and producing a CC program which enacts your solution. Can you rise to the challenge?"
COMP4141,Theory of Computation,"Computability: formal languages and problems, Turing Machines TMs, computability, semidecidability, universal TMs, ChurchTuring thesis, halting problem, reduction and undecidability proofs, examples; Complexity: run time, space, complexity classes, nondeterminism and NP, polynomial reductions and NP completeness, optimisation problems and approximation, randomisation; Languages and Automata: regular expressions and languages, finite automata, determinisation, contextfree grammars and languages CFLs, Chomsky normal form, word problems, pumping lemma, pushdown automata, decidability problems for CFLs; Semantics and Correctness: while programs, assertions and program correctness, Hoare logic, loops and loop invariants, relative completeness of Hoare logic and its role in a proof of Gdels incompleteness result"
COMP4161,Advanced Topics in Software Verification,"This course is about mechanical proof assistants, how they work, and what they can be used for. It presents specification and proof techniques used in industrial grade theorem provers, teaches the theoretical background to the techniques involved, and shows how to use a theorem prover to conduct formal proofs in practice. The courses is intended to bring thirdfourth year and postgraduate students into contact with the current research topics in the field of theorem proving and automated deduction and to teach them the necessary skills to successfully use industrial grade verification environments in modelling and verification.Topics covered included: higher order logic, natural deduction, lambda calculus, term rewriting, data types and recursive functions, induction principles, calculational reasoning, mathematical proofs, decision procedures for a variety of logical domains, and proofs about programs.Note: experience with firstorder logic and functional programming is required."
COMP4336,Mobile Data Networking,"This is a first course in wireless and mobile networking examining the fundamental theories as well as thelatest advances in wireless data and mobile communication networks. Topics include fundamentalconcepts in wireless coding, modulation, and signal propagation, WiFi and wireless local areanetworks, cellular networks, Bluetooth, and Internet of Things networks. The course will alsooverview some of the emerging wireless networking concepts, such as wireless sensing, and droneassisted mobile networks. Handson experiments with mobile devices will be part of the learningexercise, which involves wireless packet capture, analysis, and programming."
COMP4337,Securing Fixed and Wireless Networks,"With exponential growth of the Internet, security of a network has become increasingly challenging. This subject will explore the security vulnerabilities in both fixed and wireless networks and cover the fundamental concepts and advanced issues with an emphasis on the Internet architecture and protocols. Br br The following key concepts will be covered: Wireless Communications and Security overview, Review of Cryptographic techniques, 802.11 Technologies and legacy 802.11 Security: lessons learnt, Encryption Ciphers and Methods in Wireless Networks, Wireless Security Risks, Wireless Security Auditing and Pen Test Introduction, IPSec and IP layer security, PKIX.509, Transport Layer SecurityDTLS, Intrusion Detection and Protection Systems, Network Firewalls, Secure Neighbor Discovery, Routing and Forwarding Security, Authentication and Key Management in Wireless NetworksSensor Networks, Broadcast Security and Secure Code Dissemination, Network Privacy and Anonymity, Security and Privacy in Location Services, Smart Grid and IoT security."
COMP4418,Knowledge Representation and Reasoning,"How can you timetable classes to fit everyones schedule? Could tactical voting occur in Australia? Can a single computer program play and solve both sudoku and minesweeper?Knowledge Representation and Reasoning is at the core of Artificial Intelligence and the corresponding course, COMP4418, will equip you to answer the questions above and many other ones, socalled combinatorial problems. To do so, I will teach you modeling, that is the representation of a problem and its solutions in a way the computer can understand. You will learn a declarative programming language, a paradigm in which one only specifies what constitutes a solution to a problem and then leaves it to the computer to actually find the solution. With this new tool under your belt, you can effectively tackle most combinatorial problems coming your way, from planning and scheduling to digital circuit synthesis or some limited program verification."
COMP4431,Game Design Workshop,"Game design. How do I invent a new game? What makes a game fun? What is the role of story in games? What makes a game balanced?This course will explore the three basic elements of game design mechanics, aesthetics, and dynamics. We will also look at game design through the lens of accessibility. The focus is on thedesign of play, not on programming or graphics. The iterative process of game design is demonstrated through the design, prototyping and playtesting a boardgame. You will be working in the maker space to create rapid prototypes and iterative playtesting of your games. There will also be guest lectures from the games industry."
COMP4511,User Interface Design and Construction,"COMP4511 is a handson projectbased course designed to build and solidify the basic skills you acquired in COMP35119511. Students will be required to build their interface at least three times remember the process is iterative!, once as a low fidelity prototype, moving to a higher fidelity electronic prototype and finishing with a beta version of the app. This semester, we will be using React to help us write the app. The course will provide you with a basic understanding and the building blocks required to create your app, and let you guide the design and development process.The process doesnt start with coding, it starts with an understanding your users. You develop personas of your target audience and work through the design issues: What information are they going to be dealing with? What are the workflows? How are they going to interact with the application? What is the application going to look like?As you learned in Human Computer Interaction, you have to conceptualise your design on paper and evaluate prototypes with users. Then you start on the design of your system, not focussing on just the code but also the objectoriented design. You will build the code implementation iterating through both your objectoriented design and your user interface design.The real insights come when we usability test your application. Do your users really understand how to use your application? Does it work the way that they expect not what you as a programmer expect. Thats the challenge. What is the difference between a bug and a design flaw? Proper evaluation techniques will help you uncover both.We teach a process that is relevant to industry. Preparing students for the realworld challenges of user interface design. And face it, user interfaces are everywhere.The process is not just about putting buttons and text on screen. COMP3511 only touched the surface of what user interface design is all about. Are you up for the challenge of designing graphical user interfaces?COMP3511 Human Computer Interaction is a prerequisite and you need a mark of 70 or better you are expected to start design, prototyping and designing usability tests in the first week. You should have completed COMP2511 which introduces you to object oriented techniques, UML and design patterns, with a mark of 65 or higher."
COMP4601,Design Project B,"COMP4601 is a teambased project development course involving the analysis, design and implementation of embedded, high performance or low power FPGAbased accelerators using highlevel synthesis.Students study concepts through lectures and guided lab exercises during the first half of the course, when project teams are also formed and the project goals are developed. During the second half of the course, students are involved in presenting group seminars and working on their projects. The course finishes with final project presentations."
COMP4920,Professional Issues and Ethics in Information Technology,"In this course we will explore ethical issues for computer science, widely conceived. We will examine in detail the nature of ethical claimsmoral judgements themselves, and how it is that our beliefs about their nature can affect our understanding of the ethical issues relating to computer science that we will examined far. We will learn about ethical arguments, and how to construct and evaluate them. We will cover utilitarian, deontological, and virtue ethics, and run test cases past realworld computer science cases. We will learn to engage critically with research ethics, as well as the relationship between ethical responsibility and AI frameworks and innovation. There will be considerable discussion of ethics washing the pretence of ethical reasoning by those in positions of power for the purpose of avoiding regulation, As well as explore the related issues of trust, accountability, and privacy in our current online, informationalised world. We will explore equity, bias and fairness in algorithmic and dataset design, as well as the ethics of AI more broadly. We will also explore the ethical ramifications of transparency and explainability along with their attendant relationships with power, as they relate to computer science in general."
COMP4951,Research Thesis A,"The thesis provides an opportunity for you to bring together engineering principles learned over the previous years of study, and apply these principles to innovatively solve problems such as the development of a specific design andor the investigation of a hypothesis. Thesis projects are complex, openended problems that allow room for your creativity, and the acquisition, analysis, and interpretation of results. Typically, the project you work with will have multiple possible solutions or conclusions and sufficient complexity to require a degree of project planning. The thesis requires you to formulate problems in engineering terms, manage an engineering project and find solutions by applying engineering methods. You will also develop an ability to work in a research and development environment.Through the thesis, you will put into practice the knowledge and skills that youve learned in your study up to this point. You do this by investigating a research topic, developing a significant softwarehardware system, or some combination of these.Undergraduate theses consist of a single piece of work spread over three courses: Part A, Part B and Part C."
COMP4952,Research Thesis B,"The thesis provides an opportunity for you to bring together engineering principles learned over the previous years of study, and apply these principles to innovatively solve problems such as the development of a specific design andor the investigation of a hypothesis. Thesis projects are complex, openended problems that allow room for your creativity, and the acquisition, analysis, and interpretation of results. Typically, the project you work with will have multiple possible solutions or conclusions and sufficient complexity to require a degree of project planning. The thesis requires you to formulate problems in engineering terms, manage an engineering project and find solutions by applying engineering methods. You will also develop an ability to work in a research and development environment.Through the thesis, you will put into practice the knowledge and skills that youve learned in your study up to this point. You do this by investigating a research topic, developing a significant softwarehardware system, or some combination of these.Undergraduate theses consist of a single piece of work spread over three courses: Part A, Part B and Part C."
COMP4953,Research Thesis C,"The thesis provides an opportunity for you to bring together engineering principles learned over the previous years of study, and apply these principles to innovatively solve problems such as the development of a specific design andor the investigation of a hypothesis. Thesis projects are complex, openended problems that allow room for your creativity, and the acquisition, analysis, and interpretation of results. Typically, the project you work with will have multiple possible solutions or conclusions and sufficient complexity to require a degree of project planning. The thesis requires you to formulate problems in engineering terms, manage an engineering project and find solutions by applying engineering methods. You will also develop an ability to work in a research and development environment.Through the thesis, you will put into practice the knowledge and skills that youve learned in your study up to this point. You do this by investigating a research topic, developing a significant softwarehardware system, or some combination of these.Undergraduate theses consist of a single piece of work spread over three courses: Part A, Part B and Part C."
COMP4961,Computer Science Thesis A,"The thesis provides an opportunity for you to bring together engineering principles learned over the previous years of study, and apply these principles to innovatively solve problems such as the development of a specific design andor the investigation of a hypothesis. Thesis projects are complex, openended problems that allow room for your creativity, and the acquisition, analysis, and interpretation of results. Typically, the project you work with will have multiple possible solutions or conclusions and sufficient complexity to require a degree of project planning. The thesis requires you to formulate problems in engineering terms, manage an engineering project and find solutions by applying engineering methods. You will also develop an ability to work in a research and development environment.Through the thesis, you will put into practice the knowledge and skills that youve learned in your study up to this point. You do this by investigating a research topic, developing a significant softwarehardware system, or some combination of these.Undergraduate theses consist of a single piece of work spread over three courses: Part A, Part B and Part C."
COMP4962,Computer Science Thesis B,"The thesis provides an opportunity for you to bring together engineering principles learned over the previous years of study, and apply these principles to innovatively solve problems such as the development of a specific design andor the investigation of a hypothesis. Thesis projects are complex, openended problems that allow room for your creativity, and the acquisition, analysis, and interpretation of results. Typically, the project you work with will have multiple possible solutions or conclusions and sufficient complexity to require a degree of project planning. The thesis requires you to formulate problems in engineering terms, manage an engineering project and find solutions by applying engineering methods. You will also develop an ability to work in a research and development environment.Through the thesis, you will put into practice the knowledge and skills that youve learned in your study up to this point. You do this by investigating a research topic, developing a significant softwarehardware system, or some combination of these.Undergraduate theses consist of a single piece of work spread over three courses: Part A, Part B and Part C."
COMP4963,Computer Science Thesis C,"The thesis provides an opportunity for you to bring together engineering principles learned over the previous years of study, and apply these principles to innovatively solve problems such as the development of a specific design andor the investigation of a hypothesis. Thesis projects are complex, openended problems that allow room for your creativity, and the acquisition, analysis, and interpretation of results. Typically, the project you work with will have multiple possible solutions or conclusions and sufficient complexity to require a degree of project planning. The thesis requires you to formulate problems in engineering terms, manage an engineering project and find solutions by applying engineering methods. You will also develop an ability to work in a research and development environment.Through the thesis, you will put into practice the knowledge and skills that youve learned in your study up to this point. You do this by investigating a research topic, developing a significant softwarehardware system, or some combination of these.Undergraduate theses consist of a single piece of work spread over three courses: Part A, Part B and Part C."
COMP6080,Web Front-End Programming,"COMP6080 aims to develop your confidence in building modern webbased applications to industry standards. This occurs through the introduction of a range of basic concepts surrounding HTML, CSS, Vanilla Javascript, Javascript Declarative Frameworks, UIUX Principles, Accessibility, Network amp; Asynchronous Programming, Frontend Testing, and other basic infrastructure.This course has a heavy emphasis on industry voices, and as such a number of lectures will be given by current frontend developers from industry. These lectures primarily come from employees at Canva, a Sydneybased technology company that does a lot of work with frontend technologies.COMP6080 is a challenging course. Frontend development is unlike most things youve experienced at university before. You will find the individual problems you solve much simpler than other level 6 courses, but the time you will feel that you spend on the aggregate of these issues will feel larger. A number of students will find this course quite time consuming if theyre hoping to achieve a high mark. Wed encourage you to reflect on this fact before you enrol in the course."
COMP6131,Static Analysis for Software Security,"This course is designed to provide a systematic exploration of automated source code analysis and verification techniques, with the aim of gaining handson experience in implementing code analysis tools to identify common yet important software vulnerabilities in software systems. By taking this course, students can put static analysis theories and advanced techniques into practice. They will be able to build static code analysis toolse.G., written in C based on modern compilers and popular opensource frameworks to scan, comprehend and detect programming mistakes and vulnerabilities with the purpose of enhancing code quality and security."
COMP6441,Security Engineering and Cyber Security,"In this introductory cybersecurity course we look at Security Engineering the engineering principles behind designing, monitoring, and maintaining security in the face of an adversary. We explore selected case studies and examine the practical principles behind effective security. We introduce the fundamental ideas of security and then we look at how these are applied in current cyber security practice. We will pay particular attention to systems which fail and the importance of thinking like an attacker. This course involves analysis, critical thinking and design. A cunning and devious mind will be an asset. Although our main concern is cybersecurity, the engineering principles we cover apply to security more generally.This course introduces modern cybersecurity design and practice, and is suitable for anyone with a playful analytical mind and a general interest in security. We do not assume a programming background. We concentrate on analytical skills and the engineering approach to security design. Well also bring you up to date with the current main trends in cybersecurity.In this course you will undertake an applied self directed security project.There is an associated Extended version of this course COMP6841 for students who can code, ideally in C, and who know low level concepts such as memory implementation and function calling. CSE students will probably choose to take the extended version but are not required to. You can transfer between the courses before the census date if you cant make up your mind in advance which is better for you.The precise topics covered in this introductory course change somewhat from year to year to keep the coverage uptodate and relevant. As you will see cybersecurity has recently been and remains a rapidly changing field. The field is now way too big for us to cover everything in detail in just one course but by the end of course you will have an overview of the major topics in contemporary security, a good understanding of the current state of play, and have begun to think like a security engineer.After completing either of these courses COMP6441 or COMP6841 you can proceed to the other UNSW Computing Security Courses covering topics in:Digital forensics, Penetration testing, Memory corruption and exploitation, Software assurance, Incident response, Malware analysis and reversing, Cryptanalysis, Cloud Security, Professional issues and leadership in security, Web application security, Fun special projects, MasterclassOur intention is to make this a highly enjoyable course. The field is quite stimulating as the security mindset you will develop involves understanding know how to break things in creative ways as well as how to create things as is traditional in computing with puzzles, cunning, cloakanddagger antics and a neverending supply of amusing stories. However it will not be an easy course you are expected to master the underlying theory and to be able to apply it to real world situations. There is a lot to learn and we expect you to work hard and study in your own time."
COMP6443,Web Application Security and Testing,Web applications are currently the predominant source of software vulnerabilities exploited in in online attacks. There is a growing need and growing demand for web programmers to be security aware.This course covers the main types of web application vulnerabilities and current best practice professional coding and testing practices to be able to successfully develop secure web applications.The course covers OWASP vulnerabilities cross site scripting browser security model and weaknesses Injection attacks DNS Man in the middle Data leakage Spoofing UI and Social vulnerabilities Assurance and Testing Standards. Course coverage will be constantly updated over time to reflect emerging vulnerabilities and practices.A programming background is not required but it will be helpful in some of the more applied topics. Students need a keen devious and analytical mind. To get the most from this course students will need to engage in independent study and research and be able to act as independent self directed learners.
